Album;Year;Type
Roadwork vol 1 – Heavy Metall iz a poze, hardt rock iz a laifschteil;1999;live
The Source Roadworks, vol. 2 – The MotorSource Massacre;2000;live
Roadwork, Vol. 3: The Four Norsemen of the Apocalypse;2018;live
Roadwork Vol. 4: Intrepid Skronk;2011;live
Roadwork, Vol. 5: Field Notes, Europe 2017 (The Fantastic Expedition of Järmyr, Ryan, Sæther & Lo);2018;live
